Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,90.0,8,E
FIFA Soccer 11,PS3,2010,Sports,89.0,8,E
Resident Evil,PS,1996,Action,91.0,9,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,86.0,8,M
Tony Hawk's Pro Skater,PS,1999,Sports,92.0,9.2,T
Guitar Hero III: Legends of Rock,PS2,2007,Misc,82.0,8.2,T
Link's Crossbow Training,Wii,2007,Shooter,68.0,7.1,T
Fallout 3,X360,2008,Role-Playing,93.0,8.5,M
Uncharted: Drake's Fortune,PS3,2007,Action,88.0,8.1,T
Madden NFL 06,PS2,2005,Sports,88.0,8,E
StarCraft II: Wings of Liberty,PC,2010,Strategy,93.0,8.2,T
Assassin's Creed,PS3,2007,Adventure,81.0,7.3,M
God of War III,PS3,2010,Action,92.0,8.7,M
Crash Team Racing,PS,1999,Racing,88.0,9,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,80.0,5.4,E
Driver 2,PS,2000,Action,62.0,7.7,T
Tony Hawk's Pro Skater 2,PS,2000,Sports,98.0,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,82.0,8.2,T
Tomb Raider,PS,1996,Action,91.0,8.6,T
Animal Crossing: City Folk,Wii,2008,Simulation,73.0,7.6,E
The Legend of Zelda: The Wind Waker,GC,2002,Action,96.0,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,86.0,8.4,T
Madden NFL 2005,PS2,2004,Sports,91.0,7.9,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,85.0,7.9,T
Madden NFL 07,PS2,2006,Sports,84.0,8.2,E
Spider-Man: The Movie,PS2,2002,Action,76.0,7.9,E
God of War,PS2,2005,Action,94.0,8.9,M
Tony Hawk's Pro Skater 3,PS2,2001,Sports,97.0,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,86.0,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,94.0,8.7,M
Need for Speed: Most Wanted,PS2,2005,Racing,82.0,9.1,T
Michael Jackson: The Experience,Wii,2010,Misc,56.0,8.3,E10+
Resistance: Fall of Man,PS3,2006,Shooter,86.0,8.1,M
Kingdom Hearts II,PS2,2005,Role-Playing,87.0,9,E10+
Fable II,X360,2008,Role-Playing,89.0,6.5,M
Namco Museum,GBA,2001,Misc,79.0,7.3,E
Batman: Arkham Asylum,PS3,2009,Action,91.0,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,91.0,9.3,M
Daxter,PSP,2006,Platform,85.0,8.7,E10+
FIFA Soccer 06,PS2,2005,Sports,80.0,7.8,E
EyeToy Play,PS2,2003,Misc,80.0,7.5,E
Gran Turismo 5 Prologue,PS3,2007,Racing,80.0,7.1,E
Street Fighter IV,PS3,2009,Fighting,94.0,7.3,T
Madden NFL 2003,PS2,2002,Sports,95.0,7.7,E
Half-Life,PC,1997,Shooter,96.0,9.1,M
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,91.0,7.9,T
God of War II,PS2,2007,Action,93.0,8.9,M
Fallout: New Vegas,X360,2010,Role-Playing,84.0,8.1,M
Forza Motorsport 2,X360,2007,Racing,90.0,8.3,E
Carnival Games,Wii,2007,Misc,56.0,6,E
Tekken Tag Tournament,PS2,2000,Fighting,85.0,8.5,T
Left 4 Dead 2,X360,2009,Shooter,89.0,8.6,M
Fallout 3,PS3,2008,Role-Playing,90.0,8,M
Professor Layton and the Diabolical Box,DS,2007,Puzzle,84.0,8.8,E10+
EA Sports Active,Wii,2009,Sports,81.0,8.7,E
Tony Hawk's Underground,PS2,2003,Sports,90.0,8.7,T
Tekken 5,PS2,2005,Fighting,88.0,8.6,T
