Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
James Bond 007: Nightfire,XB,2002,Shooter,78.0,7.8,T
Tony Hawk's Pro Skater 3,GC,2001,Sports,91.0,9,T
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,81.0,8.2,T
DJ Hero 2,X360,2010,Misc,86.0,7.9,T
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,65.0,8.2,E
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,83.0,8,T
Need for Speed: Hot Pursuit 2,XB,2002,Racing,75.0,6.4,E
Amped: Freestyle Snowboarding,XB,2001,Sports,78.0,9,E
Stranglehold,X360,2007,Shooter,77.0,7.6,M
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,90.0,8.9,M
Tales of Destiny II,PS,2000,Role-Playing,78.0,8.7,T
NASCAR 2001,PS,2000,Racing,73.0,6.1,E
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,86.0,7.2,E
MediEvil: Resurrection,PSP,2005,Adventure,66.0,8.7,T
Valkyrie Profile,PS,1999,Role-Playing,81.0,8.8,T
Patapon,PSP,2007,Misc,86.0,8.7,E
Pro Evolution Soccer 2010,X360,2009,Sports,78.0,7.6,E
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,70.0,8.2,M
NCAA Football 10,PS3,2009,Sports,80.0,6.9,E
Guitar Hero: Warriors of Rock,PS3,2010,Misc,74.0,7.1,T
The Sims 2,PS2,2005,Simulation,75.0,4.4,T
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,60.0,7.5,T
Yakuza,PS2,2005,Action,75.0,8.2,M
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,75.0,7.6,T
Hitman: Contracts,PS2,2004,Shooter,80.0,8.3,M
Ben 10: Alien Force,Wii,2008,Action,45.0,7.8,E10+
Final Fantasy Anthology,PS,1999,Role-Playing,80.0,8.1,T
DiRT 2,X360,2009,Racing,87.0,8.2,T
Prince of Persia: Warrior Within,XB,2004,Action,83.0,7.5,M
Pro Evolution Soccer 2010,PSP,2009,Sports,72.0,4.6,E
Guitar Hero: Metallica,X360,2009,Misc,84.0,8.1,T
Need for Speed: Hot Pursuit 2,GC,2002,Racing,68.0,8.3,E
Rayman Raving Rabbids 2,DS,2007,Misc,57.0,7,E10+
The Sims 2: Pets,PSP,2006,Simulation,57.0,7.3,T
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,73.0,8.6,T
Guitar Hero: Aerosmith,PS2,2008,Misc,71.0,6.3,T
Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,48.0,6.4,T
pro evolution soccer 2011,PSP,2010,Sports,74.0,5.8,E
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,79.0,8.9,E
Motocross Mania,PS,2001,Racing,34.0,5.3,E
Armored Core 2,PS2,2000,Simulation,78.0,8.4,T
The Godfather II,X360,2009,Action,65.0,6.9,M
Band Hero,X360,2009,Misc,76.0,5,E10+
NCAA Football 08,PS2,2007,Sports,83.0,8.3,E
FIFA Soccer 2004,XB,2003,Sports,82.0,8.2,E
The Sims 2: Castaway,PSP,2007,Simulation,64.0,7.3,E10+
Star Ocean: The Last Hope,X360,2009,Role-Playing,72.0,7.2,T
Invizimals,PSP,2009,Strategy,69.0,7.3,E10+
Too Human,X360,2008,Role-Playing,65.0,7,T
Tiger Woods PGA Tour 10,PS3,2009,Sports,81.0,7.7,E
Tom Clancy's Splinter Cell: Double Agent,X360,2006,Action,85.0,8.1,M
Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,74.0,8.5,T
Golden Sun: Dark Dawn,DS,2010,Role-Playing,79.0,8.1,E10+
Star Wars The Clone Wars: Jedi Alliance,DS,2008,Action,68.0,7.8,E10+
The World Ends With You,DS,2007,Role-Playing,88.0,8.9,T
Drawn to Life,DS,2007,Action,73.0,8.2,E
Sid Meier's Civilization Revolution,PS3,2008,Strategy,85.0,7.7,E10+
NBA 2K7,PS2,2006,Sports,81.0,8.4,E
James Bond 007: Nightfire,GC,2002,Shooter,80.0,8.6,T
Lips,X360,2008,Misc,71.0,7.4,T
MadWorld,Wii,2009,Action,81.0,8.6,M
Need for Speed: ProStreet,PSP,2008,Racing,57.0,7.1,E
Perfect Dark Zero,X360,2005,Shooter,81.0,7.3,M
Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,53.0,6.3,T
Need for Speed: Porsche Unleashed,PS,1999,Racing,78.0,8.5,E
Worms: Open Warfare,PSP,2006,Strategy,70.0,6.6,E10+
Star Wars Episode II: Attack of the Clones,GBA,2002,Action,38.0,5,E
Ghost Squad,Wii,2007,Shooter,69.0,7.5,T
Maximo: Ghosts to Glory,PS2,2001,Platform,84.0,8.7,T
Donkey Kong Country 3,GBA,2005,Platform,77.0,8.4,E
All-Star Baseball 2003,PS2,2002,Sports,81.0,8.4,E
Unlimited Saga,PS2,2002,Role-Playing,45.0,3,T
Pokemon Dash,DS,2004,Racing,46.0,5.9,E
Dragon Ball: Raging Blast,PS3,2009,Fighting,57.0,7.2,T
Twisted Metal: Head On,PSP,2005,Action,79.0,8.2,T
Sonic Unleashed,PS2,2008,Platform,66.0,6.7,E10+
Driv3r,XB,2004,Racing,56.0,4.7,M
ISS Pro Evolution,PS,1998,Sports,94.0,8.7,E
Need For Speed: Undercover,PSP,2008,Racing,52.0,6.8,T
Metroid Prime Hunters,DS,2006,Shooter,85.0,8,T
Star Wars Battlefront: Elite Squadron,PSP,2009,Shooter,63.0,8,T
Syphon Filter: The Omega Strain,PS2,2004,Shooter,65.0,6.9,M
Mortal Kombat: Deception,XB,2004,Fighting,81.0,8.8,M
That's So Raven,GBA,2004,Adventure,39.0,7.6,E
DJ Hero,Wii,2009,Misc,87.0,7.6,T
Star Wars: The Force Unleashed II,Wii,2010,Action,71.0,7.8,T
Harry Potter and the Half-Blood Prince,Wii,2009,Action,60.0,6,E10+
Wall-E,PS2,2008,Platform,67.0,8.4,E
Mega Man X5,PS,2000,Platform,76.0,8.9,E
Genji: Days of the Blade,PS3,2006,Action,55.0,5.8,T
Rockstar Games presents Table Tennis,X360,2006,Sports,81.0,7.8,E
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,58.0,6,E
DJ Hero 2,PS3,2010,Misc,86.0,7.8,T
WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,72.0,6,T
Shark Tale,PS2,2004,Action,69.0,6.5,E
Zone of the Enders,PS2,2001,Shooter,78.0,7.4,M
Tony Hawk's Underground 2,XB,2004,Sports,83.0,7.8,T
Madden NFL 06,PSP,2005,Sports,75.0,7.9,E
Raving Rabbids: Travel in Time,Wii,2010,Adventure,62.0,7.6,E10+
Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,81.0,7.9,T
MVP 06 NCAA Baseball,PS2,2006,Sports,76.0,9,E
Turok,X360,2008,Action,69.0,7.1,M
Coded Arms,PSP,2005,Shooter,59.0,6.5,T
Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,80.0,6.9,E10+
The Lord of the Rings: Conquest,PS3,2009,Action,54.0,7.1,T
Band Hero,PS3,2009,Misc,76.0,5.7,E10+
Burnout,PS2,2001,Racing,79.0,7.7,E
Spectrobes,DS,2007,Role-Playing,63.0,7.9,E
The Godfather II,PS3,2009,Action,67.0,7.2,M
Mortal Kombat: Unchained,PSP,2006,Fighting,70.0,8.8,M
Need for Speed: Shift,PSP,2009,Racing,69.0,6.5,E
Midnight Club 3: DUB Edition,XB,2005,Racing,84.0,7.4,E10+
Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,60.0,7.1,T
Red Faction: Guerrilla,PS3,2009,Shooter,85.0,8.1,M
Unreal Championship,XB,2002,Shooter,83.0,8.2,M
Tales of Vesperia,X360,2008,Role-Playing,79.0,8.2,T
Namco Museum Remix,Wii,2007,Misc,49.0,6.3,E
Sword of Mana,GBA,2003,Role-Playing,72.0,8.3,E
Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,74.0,7.3,T
Resonance of Fate,PS3,2010,Role-Playing,72.0,8,T
Pirates of the Caribbean: At World's End,PS3,2007,Action,55.0,6.9,T
Tiger Woods PGA Tour 08,PS3,2007,Sports,79.0,6.6,E
Classic NES Series: Donkey Kong,GBA,2004,Platform,55.0,4.8,E
Harvest Moon: Animal Parade,Wii,2008,Simulation,76.0,8.9,E
WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,78.0,7.7,T
Oddworld: Munch's Oddysee,XB,2001,Platform,80.0,8.7,T
NHL 11,X360,2010,Sports,88.0,7.7,E10+
NCAA Football 07,X360,2006,Sports,79.0,6.9,E
Full Spectrum Warrior,XB,2004,Strategy,84.0,8.7,M
Katamari Damacy,PS2,2004,Puzzle,86.0,9,E
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,64.0,8.7,E
James Bond 007: Agent Under Fire,GC,2002,Shooter,74.0,6.8,T
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,65.0,7,E
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,73.0,7.5,E10+
Ultimate Spider-Man,PS2,2005,Action,74.0,7.9,T
Monopoly Streets,Wii,2010,Misc,65.0,5.2,E
NBA Live 08,PS2,2007,Sports,68.0,6.6,E
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,74.0,6.7,T
Dead to Rights,XB,2002,Shooter,73.0,8.9,M
Indiana Jones and the Staff of Kings,Wii,2009,Action,55.0,7,T
Tiger Woods PGA Tour 07,PS2,2006,Sports,79.0,6,E
Major League Baseball 2K7,X360,2007,Sports,79.0,7.1,E
X-Men: Mutant Academy 2,PS,2001,Fighting,72.0,8.4,T
Kirby: Canvas Curse,DS,2005,Platform,86.0,8.2,E
Madden NFL 10,Wii,2009,Sports,77.0,7.2,E
MLB 09: The Show,PS3,2009,Sports,90.0,8.1,E
Super Monkey Ball Jr.,GBA,2002,Puzzle,82.0,8.6,E
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,66.0,8.5,T
MLB 10: The Show,PS3,2010,Sports,91.0,8.3,E
MX vs. ATV Reflex,X360,2009,Racing,75.0,6.6,E
Blur,PS3,2010,Racing,81.0,8.2,E10+
Battlefield: Bad Company 2,PC,2010,Shooter,87.0,8.3,M
The Lord of the Rings: The Two Towers,XB,2002,Action,79.0,8.1,T
Madden NFL 2003,XB,2002,Sports,92.0,8.3,E
Skate,X360,2007,Sports,86.0,8.4,T
Ben 10: Protector of Earth,PSP,2007,Action,60.0,7.2,E10+
Virtua Fighter 4: Evolution,PS2,2003,Fighting,93.0,9,T
Crysis,PC,2007,Shooter,91.0,8,M
Resident Evil: Survivor,PS,2000,Action,39.0,7,M
The Sims 2: Castaway,DS,2007,Simulation,66.0,4,E
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,73.0,7.8,T
Silent Hill 3,PS2,2003,Action,85.0,8.8,M
Spyro: Enter the Dragonfly,GC,2002,Platform,48.0,5.1,E
Power Rangers: Dino Thunder,PS2,2004,Action,49.0,6.2,E
Madden NFL 08,PSP,2007,Sports,75.0,6.8,E
Madden NFL 09,PSP,2008,Sports,68.0,6.5,E
NBA Live 09,X360,2008,Sports,77.0,7.4,E
Dynasty Warriors 6,PS3,2007,Action,59.0,7.3,T
NCAA Football 09,X360,2008,Sports,83.0,7.7,E
Doom 3: Resurrection of Evil,XB,2005,Shooter,77.0,7.9,M
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,65.0,5.9,T
Two Worlds,X360,2007,Role-Playing,50.0,5.5,M
Tony Hawk's Underground,GC,2003,Sports,89.0,8.5,T
Spider-Man 2,PSP,2005,Action,67.0,6.9,T
NCAA Football 08,X360,2007,Sports,81.0,7.8,E
Star Wars: Obi-Wan,XB,2001,Action,58.0,5.9,T
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,78.0,8.4,T
Kill.Switch,PS2,2003,Shooter,73.0,8.3,T
SplashDown,PS2,2001,Racing,84.0,8.2,E
Jade Empire,XB,2005,Role-Playing,89.0,8.6,M
Infinite Undiscovery,X360,2008,Role-Playing,68.0,7,T
Advance Wars,GBA,2001,Strategy,92.0,9,E
NASCAR 2001,PS2,2000,Racing,66.0,6.6,E
Mafia,PS2,2004,Action,65.0,7.6,M
Ape Escape: On the Loose,PSP,2005,Platform,66.0,6.4,E
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,58.0,8.1,T
MLB 08: The Show,PS3,2008,Sports,85.0,8.7,E
TimeSplitters 2,PS2,2002,Shooter,90.0,8.8,T
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,73.0,7.5,E
James Bond 007: Blood Stone,PS3,2010,Shooter,65.0,7.4,T
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,65.0,7.5,T
LEGO Rock Band,Wii,2009,Misc,70.0,6.8,E10+
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,89.0,7.4,M
Mortal Kombat: Shaolin Monks,PS2,2005,Action,77.0,8.6,M
MotionSports,X360,2010,Sports,40.0,4.4,T
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,68.0,8.1,E
Mario Pinball Land,GBA,2004,Misc,62.0,4.9,E
Dragon Ball Z: Budokai,GC,2003,Fighting,65.0,6.3,T
The Sims 2: Apartment Pets,DS,2008,Simulation,50.0,3.3,E
Harry Potter and the Chamber of Secrets,GC,2002,Action,77.0,8.3,E
Prince of Persia: The Forgotten Sands,PS3,2010,Action,75.0,7.6,T
The Lord of the Rings: The Return of the King,GC,2003,Action,84.0,8.5,T
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,78.0,8.7,T
Shark Tale,GBA,2004,Action,63.0,9,E
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,81.0,7.3,T
NBA Street Vol. 2,XB,2003,Sports,89.0,8.8,E
MX vs. ATV Untamed,X360,2007,Racing,70.0,7.1,E
The Last Remnant,X360,2008,Role-Playing,66.0,6.9,M
NCAA Football 2005,XB,2004,Sports,89.0,8,E
The Sly Collection,PS3,2010,Platform,85.0,8.8,E10+
Naruto: Clash of Ninja,GC,2003,Fighting,72.0,8.1,T
Prince of Persia: The Two Thrones,PS2,2005,Action,85.0,8.5,M
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,82.0,8.6,E
Suikoden II,PS,1998,Role-Playing,82.0,8.4,T
Iron Man,PS3,2008,Action,42.0,6.2,T
FIFA Soccer 06,XB,2005,Sports,80.0,7.5,E
Fight Night 2004,XB,2004,Fighting,85.0,8.7,T
.hack//Mutation Part 2,PS2,2002,Role-Playing,76.0,8.9,T
Cars: Mater-National Championship,DS,2007,Racing,69.0,6.8,E
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,84.0,8.8,M
Spider-Man 3,PS3,2007,Platform,60.0,7,T
Mass Effect,PC,2008,Role-Playing,89.0,8.6,M
Armored Core 3,PS2,2002,Simulation,74.0,9,T
Star Wars: Republic Commando,XB,2005,Shooter,78.0,8.9,T
Turok,PS3,2008,Action,67.0,6,M
Red Steel,Wii,2006,Shooter,63.0,6.8,T
Unreal Tournament III,PS3,2007,Shooter,86.0,7.7,M
Fossil Fighters: Champions,DS,2010,Role-Playing,68.0,7.1,E
The Sims 3,DS,2010,Simulation,73.0,6.4,E
NFL Street,XB,2004,Sports,81.0,8.8,E
Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,77.0,7.2,E10+
Bakugan: Battle Brawlers,Wii,2009,Action,62.0,7.2,E
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,67.0,6.9,T
WWE SmackDown vs. RAW 2007,PSP,2006,Fighting,78.0,8.1,T
Tony Hawk's Proving Ground,PS2,2007,Sports,65.0,6.6,T
The Darkness,PS3,2007,Shooter,80.0,7.7,M
MLB 2004,PS2,2003,Sports,61.0,7.9,E
Darkstone,PS,2001,Role-Playing,58.0,8.3,T
NCAA March Madness 2003,PS2,2002,Sports,74.0,8,E
Thrillville,PS2,2006,Strategy,69.0,2.9,E10+
Castlevania: Lords of Shadow,X360,2010,Action,83.0,7.8,M
NHL 10,X360,2009,Sports,88.0,8.4,E10+
Street Fighter Anniversary Collection,PS2,2004,Fighting,78.0,8.7,T
Napoleon: Total War,PC,2010,Strategy,81.0,7.9,T
The Sims: Bustin' Out,GC,2003,Simulation,81.0,9,T
Ratatouille,PSP,2007,Action,64.0,7.1,E
Tom Clancy's EndWar,PS3,2008,Strategy,76.0,6.6,T
Shrek: Hassle at the Castle,GBA,2002,Action,71.0,7.4,E
Suikoden IV,PS2,2004,Role-Playing,63.0,7.3,T
Gods Eater Burst,PSP,2010,Action,71.0,7.9,T
Fist of the North Star: Ken's Rage,PS3,2010,Action,60.0,6.9,M
Brothers In Arms: Road to Hill 30,XB,2005,Shooter,88.0,8,M
Kung Fu Panda,PS2,2008,Action,73.0,8.6,E10+
Shaun White Snowboarding,PS3,2008,Sports,63.0,6.3,T
Radiata Stories,PS2,2005,Role-Playing,74.0,9,T
F-Zero GX,GC,2003,Racing,89.0,8.5,T
Disney's Chicken Little,PS2,2005,Platform,60.0,8.9,E10+
Scene It? Box Office Smash,X360,2008,Misc,76.0,7.4,T
Yoshi Topsy-Turvy,GBA,2004,Platform,60.0,6.6,E
Monster Jam: Maximum Destruction,PS2,2002,Racing,47.0,6,T
Tiger Woods PGA Tour 09,PS3,2008,Sports,82.0,7.2,E
Tiger Woods PGA Tour 09,X360,2008,Sports,84.0,7.8,E
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,89.0,9.4,E
Wario: Master of Disguise,DS,2007,Platform,60.0,7.4,E10+
Drakengard,PS2,2003,Role-Playing,63.0,9.1,M
Champions: Return to Arms,PS2,2005,Role-Playing,77.0,8.8,T
Harry Potter and the Goblet of Fire,PS2,2005,Action,68.0,6.7,E10+
Tiger Woods PGA Tour 10,X360,2009,Sports,80.0,6.9,E
007: Quantum of Solace,Wii,2008,Action,54.0,7.5,T
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,67.0,6.6,E
Need For Speed: Undercover,Wii,2008,Racing,54.0,6.2,T
Spyro: A Hero's Tail,PS2,2004,Platform,60.0,8,E
Crash: Twinsanity,PS2,2004,Platform,64.0,8,E
Max Payne 2: The Fall of Max Payne,XB,2003,Shooter,84.0,8.4,M
Drawn to Life: The Next Chapter,DS,2009,Puzzle,72.0,7.7,E
GoldenEye: Rogue Agent,PS2,2004,Shooter,60.0,7,T
Star Ocean: First Departure,PSP,2007,Role-Playing,74.0,7.4,T
James Bond 007: Everything or Nothing,XB,2004,Shooter,83.0,7.4,T
X2: Wolverine's Revenge,PS2,2003,Platform,58.0,7.2,T
NBA Live 06,XB,2005,Sports,79.0,6.4,E
TimeSplitters 2,XB,2002,Shooter,88.0,7.7,T
Onimusha: Dawn of Dreams,PS2,2006,Action,81.0,8.9,M
Sengoku Basara: Samurai Heroes,PS3,2010,Action,61.0,7.9,T
Stuntman: Ignition,X360,2007,Racing,75.0,7.3,T
Real Heroes: Firefighter,Wii,2009,Action,67.0,8.2,E10+
Dragon Ball: Raging Blast 2,X360,2010,Fighting,57.0,7.4,T
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,63.0,5.7,E
Lost Planet: Extreme Condition,PS3,2008,Shooter,67.0,7,T
X-Men Legends II: Rise of Apocalypse,PS2,2005,Role-Playing,82.0,7.3,T
LEGO Star Wars II: The Original Trilogy,X360,2006,Action,81.0,8,E10+
Rock Band 3,Wii,2010,Misc,91.0,6.9,T
Tony Hawk's Pro Skater 2x,XB,2001,Sports,78.0,8.8,T
NBA Live 08,PS3,2007,Sports,73.0,6.8,E
FIFA Soccer 2003,XB,2002,Sports,88.0,7.7,E
The Lord of the Rings: Conquest,X360,2009,Action,55.0,7,T
NASCAR 06: Total Team Control,PS2,2005,Racing,78.0,7.7,E
Iron Man,PSP,2008,Action,44.0,6.5,T
White Knight Chronicles II,PS3,2010,Role-Playing,60.0,7.1,T
Juiced 2: Hot Import Nights,X360,2007,Racing,68.0,7.6,T
Wolfenstein,PS3,2009,Shooter,71.0,7.4,M
Ape Escape 2,PS2,2002,Platform,82.0,8.4,E
Sega Rally Revo,PS3,2007,Racing,75.0,7,E
Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,89.0,8.3,M
FIFA Soccer 2002,PS2,2001,Sports,82.0,5.8,E
Condemned 2: Bloodshot,X360,2008,Action,80.0,8.4,M
Okami,PS2,2006,Action,93.0,9.3,T
Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,89.0,8.3,M
NHL 2001,PS,2000,Sports,88.0,7.7,E
Buzz Lightyear of Star Command,PS,2000,Platform,54.0,5.3,E
Tony Hawk's Project 8,PS3,2006,Sports,76.0,7.2,T
Ghostbusters: The Video Game,X360,2009,Action,79.0,8.5,T
Tony Hawk's American Wasteland,XB,2005,Sports,77.0,7.7,T
Wild ARMs 3,PS2,2002,Role-Playing,78.0,8.4,T
Madden NFL 07,GC,2006,Sports,82.0,9.2,E
Tiger Woods PGA Tour 2004,XB,2003,Sports,89.0,8.2,E
Tak 2: The Staff of Dreams,PS2,2004,Platform,71.0,8,E
Donkey Kong Barrel Blast,Wii,2007,Racing,46.0,6.8,E
Viewtiful Joe,GC,2003,Action,93.0,8.3,T
The Urbz: Sims in the City,GBA,2004,Simulation,72.0,9.2,E
Guitar Hero: Metallica,PS3,2009,Misc,86.0,8,T
Strike Force Bowling,PS2,2004,Sports,48.0,6.8,E
Red Steel 2,Wii,2010,Shooter,80.0,8.6,T
XGRA: Extreme G-Racing Association,PS2,2004,Racing,68.0,8.6,T
Prince of Persia: The Forgotten Sands,X360,2010,Action,74.0,7.8,T
DJ Hero 2,Wii,2010,Misc,88.0,7.5,T
Wall-E,X360,2008,Platform,50.0,6.3,E
Harry Potter and the Half-Blood Prince,DS,2009,Action,48.0,4.3,E
NieR,PS3,2010,Role-Playing,68.0,8.4,M
NBA 2K9,PS3,2008,Sports,82.0,7,E
NFL Fever 2003,XB,2002,Sports,72.0,8.6,E
Samurai Warriors 2,PS2,2006,Action,58.0,8.8,T
Wet,PS3,2009,Shooter,70.0,6.4,M
Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,81.0,7,E10+
Metroid Prime: Trilogy,Wii,2009,Shooter,91.0,9.3,T
Robotech: Battlecry,PS2,2002,Shooter,72.0,8.5,T
Jak and Daxter: The Lost Frontier,PSP,2009,Platform,71.0,6.3,E10+
Texas Hold 'Em Poker,GBA,2004,Misc,49.0,6.8,E
Time Crisis 3,PS2,2003,Shooter,81.0,8.1,T
Vanquish,PS3,2010,Shooter,84.0,8.1,M
Half-Life 2,XB,2005,Shooter,90.0,8.6,M
Tony Hawk: RIDE,X360,2009,Sports,46.0,3,E10+
Major League Baseball 2K8,X360,2008,Sports,70.0,5.9,E
Sacred 2: Fallen Angel,PS3,2009,Role-Playing,70.0,7.1,M
pro evolution soccer 2011,X360,2010,Sports,79.0,5.9,E
Major League Baseball 2K9,X360,2009,Sports,64.0,5.3,E
Final Fantasy IV Advance,GBA,2005,Role-Playing,85.0,7.3,E10+
Harry Potter and the Goblet of Fire,GBA,2005,Action,71.0,6,E
Dragon Ball Z: Buu's Fury,GBA,2004,Action,62.0,8.9,E
Spider-Man: Mysterio's Menace,GBA,2001,Action,84.0,8.7,E
MySims Racing,DS,2009,Racing,67.0,7.3,E
Naruto: Ultimate Ninja,PS2,2003,Fighting,75.0,7.7,T
Pac-Man Party,Wii,2010,Misc,59.0,5.9,E10+
Tony Hawk's Underground,GBA,2003,Sports,86.0,7.7,E
Shadow The Hedgehog,PS2,2005,Platform,45.0,6,E10+
Wave Race: Blue Storm,GC,2001,Racing,80.0,8.3,E
Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,51.0,7.8,M
Fight Night Round 2,XB,2005,Fighting,88.0,8.8,T
NBA 2K8,PS2,2007,Sports,72.0,6,E
Secret Agent Clank,PS2,2009,Platform,61.0,6.7,E10+
Call of Juarez: Bound in Blood,X360,2009,Shooter,77.0,7.6,M
Fighters Uncaged,X360,2010,Fighting,32.0,4.6,T
Rayman Arena,PS2,2001,Racing,63.0,8.6,E
Jaws Unleashed,PS2,2006,Action,52.0,7.5,M
Half-Life,PS2,2001,Shooter,87.0,8.6,M
Split/Second,X360,2010,Racing,82.0,8.1,E10+
The Golden Compass,DS,2007,Action,43.0,4.9,E10+
Muramasa: The Demon Blade,Wii,2009,Role-Playing,81.0,8.7,T
Okami,Wii,2008,Action,90.0,8.9,T
SimCity DS,DS,2007,Simulation,69.0,6.3,E
Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,62.0,8.1,E
Monopoly,X360,2008,Misc,56.0,5.8,E
Tony Hawk: RIDE,PS3,2009,Sports,44.0,2.1,E10+
Medal of Honor: Frontline,GC,2002,Shooter,80.0,7.9,T
Dead Space,PC,2008,Action,86.0,8,M
NHL 11,PS3,2010,Sports,88.0,7.1,E10+
2002 FIFA World Cup,PS2,2002,Sports,73.0,5.6,E
MVP Baseball 2004,XB,2004,Sports,90.0,8.5,E
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,62.0,7.3,E
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,73.0,7.8,M
Silent Hill: Shattered Memories,PS2,2010,Action,77.0,6.8,M
Blur,X360,2010,Racing,82.0,8.3,E10+
Asphalt: Urban GT,DS,2004,Racing,60.0,7.5,E
Mega Man Anniversary Collection,PS2,2004,Platform,81.0,9,E
Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,81.0,9.6,E
Naruto: The Broken Bond,X360,2008,Action,80.0,7.8,T
WarioWare D.I.Y.,DS,2009,Misc,82.0,8.7,E
Iron Man,Wii,2008,Action,44.0,7,T
The Fight: Lights Out,PS3,2010,Fighting,48.0,7.5,T
Mega Man X7,PS2,2003,Action,58.0,5.1,E
Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,67.0,7.7,E10+
Romancing SaGa,PS2,2005,Role-Playing,58.0,8,E10+
Lost: Via Domus,X360,2008,Action,55.0,6.4,T
Top Spin 3,Wii,2008,Action,68.0,5.7,E
Game Party in Motion,X360,2010,Misc,33.0,3.7,E
The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,73.0,8.2,T
Call of Duty: Black Ops,DS,2010,Shooter,74.0,6,T
NCAA Football 09,PS3,2008,Sports,81.0,7.3,E
Terminator 3: Rise of the Machines,PS2,2003,Action,38.0,6.3,T
Guitar Hero: Smash Hits,Wii,2009,Misc,74.0,7.7,T
Tom Clancy's HAWX,X360,2009,Action,73.0,7.3,T
NBA 2K7,X360,2006,Sports,84.0,7.8,E
Unreal Tournament,PS2,2000,Shooter,77.0,6.8,M
Digimon World 2,PS,2000,Role-Playing,42.0,7.6,E
Prince of Persia: The Two Thrones,XB,2005,Action,85.0,8.4,M
Contra: Shattered Soldier,PS2,2002,Shooter,78.0,6.6,T
Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,71.0,7.1,E10+
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,77.0,8.7,M
Tony Hawk's Pro Skater 4,GC,2002,Sports,91.0,8.6,T
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,52.0,6.9,T
NHL 06,PS2,2005,Sports,78.0,8.5,E10+
Parasite Eve II,PS,1999,Role-Playing,79.0,9,M
Skate it,Wii,2008,Sports,70.0,8.4,E
Far Cry Instincts,XB,2005,Shooter,85.0,5.7,M
Tony Hawk's Pro Skater 4,GBA,2002,Sports,85.0,8.8,E
ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,63.0,7.8,E
Tales of the Abyss,PS2,2005,Role-Playing,78.0,8.4,T
